Date,Location,Confirmed Case
17.04.2020,Wari,27
18.04.2020,Adabor,5
18.04.2020,Agargaon,5
18.04.2020,Armanitola,1
18.04.2020,Ashkona,1
18.04.2020,Azimpur,13
18.04.2020,Babu Bazar,11
18.04.2020,Badda,8
18.04.2020,Baily Road,3
18.04.2020,Banani,8
18.04.2020,Bangshal,16
18.04.2020,Banianagar,1
18.04.2020,Basabo,17
18.04.2020,Bashundhora,6
18.04.2020,Begunbari,1
18.04.2020,Begum Bazar,1
18.04.2020,Beribadh,1
18.04.2020,Bokshi Bazar,1
18.04.2020,Bosila,1
18.04.2020,Buet Area,1
18.04.2020,Cantonment,1
18.04.2020,Central Road,1
18.04.2020,Chankharpool,7
18.04.2020,Chawk Bazar,12
18.04.2020,Dhakkeshori,1
18.04.2020,Demra,3
18.04.2020,Dhanmondi,21
18.04.2020,Dholaikhal,1
18.04.2020,Doyaganj,1
18.04.2020,Eskaton,6
18.04.2020,Faridabagh,1
18.04.2020,Farmgate,1
18.04.2020,Gendaria,16
18.04.2020,Goran,1
18.04.2020,Gopibag,3
18.04.2020,Green Road,10
18.04.2020,Gulistan,3
18.04.2020,Gulshan,14
18.04.2020,Hatir jhil,1
18.04.2020,Hatirpool,3
18.04.2020,Hazaribagh,16
18.04.2020,Islampur,2
18.04.2020,Jailgate,2
18.04.2020,Jatrabari,25
18.04.2020,Jigatala,5
18.04.2020,Jurain,3
18.04.2020,Kallyanpur,2
18.04.2020,Kamrangir Char,4
18.04.2020,Kazi para,3
18.04.2020,Kawran Bazar,1
18.04.2020,Kochukhet,1
18.04.2020,Khilgaon,2
18.04.2020,Khilkhet,1
18.04.2020,Koltabazar,1
18.04.2020,Kodomtoli,2
18.04.2020,Kotowali,4
18.04.2020,Kuril,1
18.04.2020,Lalbagh,23
18.04.2020,Laxmibazar,5
18.04.2020,Malitola,1
18.04.2020,Malibagh,4
18.04.2020,Manikdi,1
18.04.2020,Matuail,1
18.04.2020,Mirhajaribagh,2
18.04.2020,Mirpur-1,8
18.04.2020,Mirpur-6,3
18.04.2020,Mirpur-10,7
18.04.2020,Mirpur-11,13
18.04.2020,Mirpur-12,11
18.04.2020,Mirpur-13,2
18.04.2020,Mirpur-14,6
18.04.2020,Mitford,26
18.04.2020,Mogbazar,11
18.04.2020,Mohakhali,12
18.04.2020,Mohonpur,1
18.04.2020,Mohammadpur,34
18.04.2020,Motijeel,1
18.04.2020,Mugda,3
18.04.2020,Nawabpur,1
18.04.2020,Nawabganj,2
18.04.2020,Narinda,3
18.04.2020,Nakhalpara,5
18.04.2020,Neemtoli,4
18.04.2020,Nikunja,1
18.04.2020,Pirerbagh,2
18.04.2020,Purana Paltan,2
18.04.2020,Rajarbagh,13
18.04.2020,Rampura,4
18.04.2020,Ramna,5
18.04.2020,Rayerbagh,1
18.04.2020,Raja Bazar,1
18.04.2020,Rayerbazar,1
18.04.2020,Sabujbagh,2
18.04.2020,Sadarghat,1
18.04.2020,Sayedabad,1
18.04.2020,Science Lab,1
18.04.2020,Shah Ali Bagh,2
18.04.2020,Shahbag,6
18.04.2020,Shakharibazar,10
18.04.2020,Shantibagh,1
18.04.2020,Shampur,1
18.04.2020,Shantinagar,8
18.04.2020,Shaymoli,7
18.04.2020,Shewrapara,1
18.04.2020,Shekher Tek,1
18.04.2020,Showari Ghat,3
18.04.2020,Siddheshwari,3
18.04.2020,Sonir akhra,1
18.04.2020,Sutrapur,9
18.04.2020,Tejgaon,16
18.04.2020,Tezturi Bazar,1
18.04.2020,Tolarbag,19
18.04.2020,Urdu Road,1
18.04.2020,Uttara,23
18.04.2020,Vatara,1
18.04.2020,Wari,28
19.04.2020,Adabor,5
19.04.2020,Agargaon,5
19.04.2020,Armanitola,1
19.04.2020,Ashkona,1
19.04.2020,Azimpur,14
19.04.2020,Babu Bazar,11
19.04.2020,Badda,9
19.04.2020,Baily Road,3
19.04.2020,Banani,8
19.04.2020,Banglamotor,1
19.04.2020,Bangshal,27
19.04.2020,Banianagar,1
19.04.2020,Basabo,18
19.04.2020,Bashundhora,6
19.04.2020,Begunbari,1
19.04.2020,Begum Bazar,1
19.04.2020,Beribadh,1
19.04.2020,Bokshi Bazar,1
19.04.2020,Bosila,1
19.04.2020,Buet Area,1
19.04.2020,Cantonment,2
19.04.2020,Central Road,1
19.04.2020,Chankharpool,8
19.04.2020,Chawk Bazar,15
19.04.2020,Dhakkeshori,1
19.04.2020,Demra,5
19.04.2020,Dhanmondi,21
19.04.2020,Dholaikhal,2
19.04.2020,Doyaganj,2
19.04.2020,Elephant Road,1
19.04.2020,Eskaton,8
19.04.2020,Faridabagh,1
19.04.2020,Farmgate,1
19.04.2020,Gendaria,19
19.04.2020,Golartek,1
19.04.2020,Goran,2
19.04.2020,Gopibag,6
19.04.2020,Green Road,10
19.04.2020,Gulistan,4
19.04.2020,Gulshan,14
19.04.2020,Hatir jhil,1
19.04.2020,Hatirpool,3
19.04.2020,Hazaribagh,17
19.04.2020,Islampur,2
19.04.2020,Jailgate,2
19.04.2020,Jatrabari,30
19.04.2020,Jigatala,5
19.04.2020,Jurain,4
19.04.2020,Kallyanpur,2
19.04.2020,Kalabagan,4
19.04.2020,Kathalbagan,1
19.04.2020,Kamrangir Char,4
19.04.2020,Kazi para,3
19.04.2020,Kawran Bazar,2
19.04.2020,Kochukhet,1
19.04.2020,Khilgaon,2
19.04.2020,Khilkhet,1
19.04.2020,Koltabazar,1
19.04.2020,Kodomtoli,2
19.04.2020,Kotowali,4
19.04.2020,Kuril,1
19.04.2020,Lalbagh,31
19.04.2020,Laxmibazar,5
19.04.2020,Malitola,1
19.04.2020,Malibagh,4
19.04.2020,Maniknagar,2
19.04.2020,Manikdi,1
19.04.2020,Matuail,3
19.04.2020,Mirhajaribagh,2
19.04.2020,Mirpur-1,11
19.04.2020,Mirpur-6,3
19.04.2020,Mirpur-10,7
19.04.2020,Mirpur-11,13
19.04.2020,Mirpur-12,11
19.04.2020,Mirpur-13,2
19.04.2020,Mirpur-14,8
19.04.2020,Mitford,28
19.04.2020,Mogbazar,12
19.04.2020,Mohakhali,14
19.04.2020,Mohonpur,1
19.04.2020,Mohammadpur,36
19.04.2020,Motijeel,1
19.04.2020,Mugda,4
19.04.2020,Nawabpur,1
19.04.2020,Nawabganj,2
19.04.2020,Narinda,5
19.04.2020,Nakhalpara,6
19.04.2020,Nayabazar,7
19.04.2020,Neemtoli,4
19.04.2020,Nikunja,1
19.04.2020,Pirerbagh,2
19.04.2020,Purana Paltan,2
19.04.2020,Rajarbagh,13
19.04.2020,Rampura,4
19.04.2020,Ramna,5
19.04.2020,Rayerbagh,1
19.04.2020,Raja Bazar,1
19.04.2020,Rayerbazar,2
19.04.2020,Sabujbagh,3
19.04.2020,Sadarghat,2
19.04.2020,Sahjanpur,3
19.04.2020,Sayedabad,1
19.04.2020,Segunbagicha,
19.04.2020,Science Lab,1
19.04.2020,Shah Ali Bagh,2
19.04.2020,Shahbag,10
19.04.2020,Shakharibazar,13
19.04.2020,Shantibagh,1
19.04.2020,Shampur,1
19.04.2020,Shantinagar,10
19.04.2020,Shaymoli,7
19.04.2020,Shewrapara,4
19.04.2020,Shekher Tek,1
19.04.2020,Showari Ghat,3
19.04.2020,Siddheshwari,4
19.04.2020,Sonir akhra,2
19.04.2020,Sutrapur,12
19.04.2020,TatiBazar,1
19.04.2020,Tejgaon,19
19.04.2020,Tezturi Bazar,1
19.04.2020,Tolarbag,19
19.04.2020,Urdu Road,1
19.04.2020,Uttara,23
19.04.2020,Vatara,1
19.04.2020,Wari,29
20.04.2020,Adabor,5
20.04.2020,Agargaon,5
20.04.2020,Aminbazar,1
20.04.2020,Amlapara,1
20.04.2020,Armanitola,1
20.04.2020,Ashkona,1
20.04.2020,Azimpur,15
20.04.2020,Babu Bazar,11
20.04.2020,Badda,9
20.04.2020,Baily Road,3
20.04.2020,Banasree,1
20.04.2020,Banani,8
20.04.2020,Banglamotor,1
20.04.2020,Bangshal,31
20.04.2020,Banianagar,1
20.04.2020,Basabo,19
20.04.2020,Bashundhora,6
20.04.2020,Begunbari,1
20.04.2020,Begum Bazar,1
20.04.2020,Beribadh,1
20.04.2020,Bokshi Bazar,1
20.04.2020,Bosila,1
20.04.2020,Buet Area,1
20.04.2020,Cantonment,2
20.04.2020,Central Road,1
20.04.2020,Chankharpool,8
20.04.2020,Chawk Bazar,19
20.04.2020,Dhakkeshori,1
20.04.2020,Demra,5
20.04.2020,Dhanmondi,23
20.04.2020,Dholaikhal,2
20.04.2020,Doyaganj,2
20.04.2020,Elephant Road,1
20.04.2020,Eskaton,8
20.04.2020,Faridabagh,1
20.04.2020,Farmgate,2
20.04.2020,Gendaria,21
20.04.2020,Golartek,1
20.04.2020,Goran,2
20.04.2020,Gonoktuli,1
20.04.2020,Gopibag,6
20.04.2020,Green Road,10
20.04.2020,Gulistan,4
20.04.2020,Gulshan,16
20.04.2020,Hatir jhil,1
20.04.2020,Hatirpool,3
20.04.2020,Hazaribagh,18
20.04.2020,Islampur,2
20.04.2020,Jailgate,2
20.04.2020,Jatrabari,33
20.04.2020,Jigatala,5
20.04.2020,Jurain,8
20.04.2020,Kallyanpur,2
20.04.2020,Kalabagan,4
20.04.2020,Kathalbagan,1
20.04.2020,Kamalapur,1
20.04.2020,Kamrangir Char,4
20.04.2020,Kazi para,3
20.04.2020,Kawran Bazar,3
20.04.2020,Kochukhet,1
20.04.2020,Khilgaon,2
20.04.2020,Khilkhet,1
20.04.2020,Koltabazar,1
20.04.2020,Kodomtoli,2
20.04.2020,Kotowali,4
20.04.2020,Kuril,1
20.04.2020,Lalbagh,31
20.04.2020,Laxmibazar,5
20.04.2020,Malitola,1
20.04.2020,Malibagh,4
20.04.2020,Maniknagar,2
20.04.2020,Manikdi,1
20.04.2020,Matuail,3
20.04.2020,Mirhajaribagh,2
20.04.2020,Mirpur-1,11
20.04.2020,Mirpur-6,3
20.04.2020,Mirpur-10,8
20.04.2020,Mirpur-11,13
20.04.2020,Mirpur-12,12
20.04.2020,Mirpur-13,2
20.04.2020,Mirpur-14,21
20.04.2020,Mitford,28
20.04.2020,Mogbazar,14
20.04.2020,Mohakhali,16
20.04.2020,Mohonpur,1
20.04.2020,Mohammadpur,38
20.04.2020,Motijeel,1
20.04.2020,Mugda,6
20.04.2020,Nawabpur,1
20.04.2020,Nawabganj,3
20.04.2020,Narinda,8
20.04.2020,Nakhalpara,6
20.04.2020,Nayabazar,7
20.04.2020,Neemtoli,4
20.04.2020,Nikunja,1
20.04.2020,Pallabi,2
